status,audio_name,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,chroma_mean,chroma_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,bandwidth_mean,bandwidth_std,contrast_mean,contrast_std,zcr_mean,zcr_std,rms_mean,rms_std,duration
COVID-19,72ab770e-a11d-4f98-8e94-7027f3f7a0ab.webm,-470.84793,190.61272,42.349316,62.14763,-20.277021,39.4687,15.817849,27.149414,-1.5777931,20.294992,9.521322,19.196814,-15.301355,22.430964,-2.6367376,9.998197,-2.1061735,10.180698,-4.730296,12.785246,-5.3721147,10.400164,-3.342722,8.4685135,3.225578,7.951585,0.266699,0.33387235,1276.370075266155,1348.747856074454,2408.326885068616,2524.126718512162,1074.424121217331,1029.4275291529855,16.04918377794026,12.62696925714675,0.08713897486575178,0.11437900453825735,0.030564511,0.053363327,9.72
COVID-19,6a2ffeef-99c5-4765-8dac-92aec8459d79.webm,-354.05927,170.82759,63.228638,67.722466,-43.61639,58.100597,2.691243,26.449554,-14.9159565,34.059494,5.406126,29.797644,-28.03278,26.954615,-9.826456,19.482733,-14.990101,16.56828,-8.018353,15.221912,2.7829552,15.52358,-12.296973,13.831297,2.3474295,13.593433,0.3533306,0.31279796,2277.4794692616724,1018.8961311596448,3876.0016594733393,1710.580790589203,1565.791824755095,507.98341960784586,23.105410747219278,14.382337623486466,0.17147777352855478,0.09502830247573181,0.07072657,0.10596029,9.96
COVID-19,4fa3ac8d-f252-40d6-bccd-24aa5e35556c.webm,-488.9058,152.98508,8.413086,18.446627,-8.186396,19.812853,1.0979894,10.272716,4.944529,12.721494,3.3341093,8.807952,-0.5503416,6.481481,-8.668402,15.585617,-6.624524,12.090371,-3.5801814,8.075475,1.3154931,8.623325,-0.5117806,8.041059,-4.0084186,9.591397,0.4619582,0.30428267,3378.628981477458,712.1082342179607,7000.215480638587,1544.4076382102958,2953.664652040699,356.0644604752849,19.292782641653343,11.028385722201273,0.3460852581521739,0.21149244552107255,0.015557187,0.04550016,9.6
COVID-19,21d95211-da92-44a9-83c7-30f8d4c6d670.webm,-532.1296,149.44797,44.484325,65.836685,-8.647761,29.667706,5.361758,18.4353,-5.2170377,19.075294,1.1504292,13.164058,-0.4144413,10.629415,-4.6771536,12.911817,-6.8129997,13.746413,-0.17377172,6.903812,-2.3518488,6.39093,-7.705147,13.297556,0.21750356,5.80541,0.43275023,0.3575696,1733.1799016921957,1283.4291605415385,3427.93969326332,2472.470332412459,1658.6326072459995,1010.3591129880307,16.63878417967411,11.042804759227167,0.1385986899882904,0.15330258772242955,0.012546326,0.029861365,9.9
COVID-19,dbb52561-93ca-444e-9ff9-e61fd6c6996f.webm,-386.77066,206.17326,28.192722,38.605892,-1.4671293,30.957123,22.833906,30.141464,-40.94092,37.395947,42.986458,34.270657,-48.636745,37.67785,3.2718172,18.526758,-15.816632,20.675045,-2.353348,12.379863,-4.2487764,14.223312,-16.074503,14.423359,5.2120943,10.250858,0.39792836,0.32731044,4412.0259376219165,1009.2001297542201,6431.724001326651,729.1724321903966,2125.6583817508035,446.6172149662169,23.10408967980955,17.87192819433586,0.40596670474646224,0.12229829571334436,0.06522075,0.08139363,9.84
COVID-19,260ef2a5-b9d2-41e7-afc7-bed26e7af5b9.webm,-409.57227,207.72157,51.734608,55.218845,-23.678835,35.17729,12.477052,18.226597,-26.652237,28.035421,10.923476,18.00618,-8.967792,15.355818,4.4256663,15.667628,-24.735895,26.224104,-8.331752,11.422276,-0.21407555,8.191541,-6.9742475,10.153469,-2.701527,7.2057753,0.32173255,0.33879352,1788.047908044958,1435.9438201965968,3592.7431640625,2815.6307731787697,1475.4815311179239,1092.5706867196618,18.835926211641723,14.187745976492929,0.11516927083333334,0.10776446711439762,0.035725415,0.04676669,1.74
COVID-19,46f9a3c5-5610-462c-b6b4-ecc9c7dd105a.webm,-673.8124,96.788124,28.053015,42.806152,8.204136,9.10857,5.176219,10.655261,-3.9889712,12.579372,-1.4534528,15.533419,-7.7749796,12.2772045,-4.883372,9.776035,-3.3224454,8.333228,-1.626118,6.1866,0.42900747,5.201202,-0.7450049,9.578946,2.912615,5.9149218,0.44676867,0.31262103,2767.757273494345,754.5566473310733,5550.873272235577,1202.1511399900269,2445.170609875238,299.29827702379475,18.927481395762822,12.130712621440008,0.15188278518356643,0.08666194269596558,0.0024336537,0.009165841,9.96
COVID-19,0b6c6e9b-7c10-4977-a281-f809b939c2e7.webm,-458.85638,124.12434,17.19552,44.689358,-12.153663,28.135052,11.368851,19.507906,4.286384,18.336752,10.275819,19.022572,-7.4217424,12.953304,-0.6502109,10.584497,1.4667132,12.01868,-0.5939952,8.733554,-1.215359,10.574249,-2.219335,7.8969774,0.35940373,6.9195833,0.26615265,0.33230594,1870.1914012376517,1588.6903312144418,3015.5059544386063,2643.814600090469,1172.059599059576,983.6289764222786,18.0383013273186,12.01073436599185,0.13471953355457228,0.1231650732500335,0.01998386,0.05687509,7.86
COVID-19,d8660e7e-fc21-4583-9c37-4e9ca911ad17.webm,-377.1923,176.57672,68.65343,55.4344,1.4326104,32.94391,29.877707,22.918007,-10.682791,25.409729,17.92589,19.75157,-22.74494,22.168474,4.647321,16.1726,-14.912156,13.355548,0.06374901,12.878066,-3.4079897,9.887989,-11.889605,11.669814,2.6830795,12.317281,0.52732706,0.28345072,2529.3647923957597,1057.8908811051851,5048.513606407123,1849.2205862164747,2166.9412108310667,427.3052711662145,21.415204105044022,15.30807157002745,0.1832773219273743,0.11882371298110815,0.044618897,0.06992677,4.14
COVID-19,f5b6295d-b96a-493f-be23-959e23c563c2.webm,-490.74277,178.7367,50.920822,64.034996,-14.644457,26.013842,6.7777076,16.700987,-19.830196,28.196007,-8.595737,12.274388,-5.5724545,11.176333,-1.6005323,8.197782,-19.347235,25.25675,5.9903417,10.871638,0.39394784,6.8873982,-4.251483,7.4257092,-0.42774144,5.3125744,0.25683475,0.31593677,1398.8407582218954,1550.9616299109362,2562.930247822746,2659.8096729038366,1142.0822717983165,1064.4964666820806,18.601488076171528,12.658696856461162,0.07988029676522249,0.09443836159585728,0.017124219,0.029631488,9.9
